AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins
60,1,0,0.0,0,207.8,109,46.0,6.18,5.7
72,1,0,0.0,2,137.6,106,36.0,7.18,9.6
70,1,0,0.0,2,198.6,111,52.0,10.7,10.6
67,1,1,3.62,0,174.7,86,80.2,8.03,13.4
83,1,0,0.0,1,78.1,70,34.0,11.97,12.3
102,0,0,0.0,3,224.2,81,59.0,12.17,12.0
48,1,0,0.0,2,210.8,84,52.0,9.48,16.4
96,1,1,3.0,2,175.8,96,78.0,10.33,11.1
98,1,1,2.16,6,168.0,81,64.6,8.16,8.0
36,1,0,0.0,1,178.6,83,49.0,10.66,10.9
101,1,0,0.31,3,136.2,92,45.1,11.05,13.3
80,1,0,0.24,1,197.5,114,54.4,10.35,11.3
64,1,0,0.24,1,154.0,67,48.4,11.29,3.5
131,1,0,0.33,0,211.8,115,62.3,13.03,10.8
132,1,1,1.92,2,113.2,96,62.2,13.5,7.1
41,1,0,0.0,3,232.1,74,68.0,16.36,10.9
114,1,0,0.0,2,193.0,101,55.0,12.5,9.6
97,1,1,2.3,0,168.4,129,71.0,11.3,8.5
98,1,1,3.48,2,181.6,112,84.8,11.04,12.9
56,1,0,0.0,1,137.2,111,38.0,8.3,14.3
166,1,0,0.26,2,197.9,89,57.6,12.55,11.2
53,1,1,1.76,1,25.9,119,39.6,10.33,6.5
105,1,0,0.0,0,281.3,124,74.0,15.08,8.7
98,0,1,2.92,1,245.5,54,96.2,14.64,10.8
152,0,1,3.83,9,237.5,120,100.3,12.67,14.2
89,1,0,0.0,3,111.2,101,30.0,6.11,12.6
73,1,0,0.0,2,254.8,85,56.0,7.17,15.0
40,1,0,0.0,1,115.7,105,31.0,6.39,9.3
128,1,0,0.0,0,125.2,99,39.0,10.27,18.9
127,1,1,3.13,1,143.2,99,70.3,8.5,11.6
100,1,0,0.0,1,247.8,117,54.0,6.5,6.9
101,1,1,2.54,4,220.3,96,87.4,14.29,9.4
126,1,0,0.0,1,228.7,102,54.0,8.44,11.8
99,1,0,0.0,4,198.2,87,52.0,10.37,8.7
43,1,0,0.35,0,179.3,97,55.5,12.64,8.0
93,1,0,0.19,2,271.6,71,67.9,11.47,10.9
130,1,1,2.35,0,141.9,92,67.5,11.45,8.7
103,1,0,0.0,1,180.2,134,39.0,4.89,8.4
92,1,0,0.0,2,91.7,90,33.0,9.69,9.2
148,1,1,4.1,2,244.9,150,93.0,5.9,15.2
72,1,0,0.0,0,109.1,97,29.0,5.79,8.3
3,1,1,3.08,2,67.4,116,63.8,12.2,11.4
85,1,1,3.73,1,196.4,139,95.3,14.05,13.8
58,1,1,3.11,2,224.1,127,90.1,11.94,11.5
107,1,0,0.0,1,222.3,101,63.0,14.3,12.1
104,1,0,0.0,0,130.5,77,34.0,6.56,13.0
146,1,0,0.0,3,205.4,101,47.0,6.75,10.3
137,1,1,2.11,0,175.3,96,72.1,12.07,7.8
57,1,0,0.0,0,85.9,92,32.0,9.7,10.1
76,1,0,0.0,1,263.4,148,65.0,11.52,11.4
106,1,0,0.0,0,158.6,112,46.0,11.0,9.1
36,1,0,0.25,1,253.4,77,61.5,9.12,8.4
192,1,0,0.0,4,221.6,101,62.0,14.26,12.7
47,1,1,2.11,1,141.3,94,60.1,8.4,7.8
50,1,1,3.67,3,302.7,93,108.7,12.03,13.6
217,1,0,0.29,0,123.7,138,45.9,12.43,13.3
68,1,0,0.0,2,143.6,80,36.0,6.72,15.5
77,1,1,2.62,2,211.1,89,81.2,11.18,9.7
73,1,0,0.0,1,187.3,118,53.0,11.99,15.1
38,1,0,0.0,2,117.3,114,38.0,10.44,14.4
111,1,1,3.27,1,193.1,104,75.7,5.58,12.1
132,1,0,0.0,1,190.1,105,48.0,9.11,13.0
50,0,0,0.34,2,99.6,108,47.4,15.44,13.7
108,1,0,0.0,1,103.0,129,39.0,12.12,7.9
80,1,1,1.03,1,190.3,115,65.3,12.83,3.8
108,1,0,0.0,0,199.3,104,53.0,11.21,15.2
67,1,0,0.34,6,260.4,107,65.4,10.41,10.0
113,0,0,0.0,5,122.2,112,32.0,6.59,10.3
119,1,0,0.18,2,190.4,74,52.8,10.78,10.0
111,1,0,0.0,0,249.8,109,64.0,12.12,11.6
85,0,0,0.0,2,165.4,107,45.0,9.8,9.6
37,0,0,0.0,0,172.9,119,45.0,9.15,9.8
123,1,1,2.11,1,124.7,105,64.1,12.52,7.8
81,0,1,2.13,1,237.1,76,84.3,13.21,7.9
109,1,0,0.0,0,184.0,120,42.0,6.02,11.0
80,1,0,0.24,2,203.7,92,56.4,10.82,7.6
113,1,0,0.0,2,239.7,47,65.0,14.15,8.7
64,0,1,2.19,0,127.2,93,57.9,8.15,8.1
176,1,0,0.0,2,250.9,108,58.0,8.57,9.6
46,1,0,0.0,2,124.8,133,35.0,7.87,8.6
66,1,1,2.4,0,190.8,100,79.0,13.07,8.9
75,1,0,0.0,1,111.7,121,40.0,11.87,13.1
102,1,1,2.75,2,137.4,100,66.5,8.84,10.2
80,0,1,3.21,1,159.3,110,74.1,8.53,11.9
107,0,0,0.0,3,133.3,106,39.0,9.15,12.9
